energy_term,comfort_term,energy_penalty,comfort_penalty,total_power_demand,total_temperature_violation,avg_pmv,price_kwh,TimeLimit.truncated
-3.369783121722819,-110.43559155763047,-6.739566243445638,-8.834847324610438,1479.272660984556,8.834847324610438,-1.7822053921792735,4.556,False
-3.5686641255226808,-109.83614870901795,-7.1373282510453615,-8.786891896721436,1566.5777548387537,8.786891896721436,-1.7782342698557019,4.556,False
-3.5958215803644555,-109.70563555652224,-7.191643160728911,-8.77645084452178,1578.4993768061702,8.77645084452178,-1.7787109661642742,4.556,False
-3.6049022674849556,-110.47484311712368,-7.209804534969911,-8.837987449369894,1582.4856310293922,8.837987449369894,-1.7862457642604515,4.556,False
-3.154874389187558,-111.47536576928499,-6.309748778375116,-8.918029261542799,1384.9316897223696,8.918029261542799,-1.7948500166755765,4.556,False
-3.499785028914573,-111.93514935115294,-6.999570057829146,-8.954811948092235,1536.34110136724,8.954811948092235,-1.7942711420137896,4.556,False
-3.407825165187182,-117.68911859456672,-6.815650330374364,-9.415129487565338,1495.9724166756725,9.415129487565338,-1.82792074156432,4.556,False
-3.5841842143902904,-116.52699248941047,-7.168368428780581,-9.322159399152838,1573.3907877042539,9.322159399152838,-1.8208419399842117,4.556,False
-3.3398773209577532,-114.78959451867388,-6.6797546419155065,-9.18316756149391,1466.1445658286889,9.18316756149391,-1.8115706476186446,4.556,False
-3.0062887801202236,-112.58092866997454,-6.012577560240447,-9.006474293597963,1319.7053468482104,9.006474293597963,-1.7944280080895314,4.556,False
-3.8875471061743605,-113.98177765073743,-7.775094212348721,-9.118542212058994,1706.5615040273751,9.118542212058994,-1.7940254769332544,4.556,False
-3.430560259615281,-116.07925021019598,-6.861120519230562,-9.286340016815679,1505.9527039575423,9.286340016815679,-1.8084448745902684,4.556,False
-3.252852303680794,-115.59802205842529,-6.505704607361588,-9.247841764674023,1427.9421877439834,9.247841764674023,-1.8076618025812279,4.556,False
-3.4489103233704483,-112.7625681752416,-6.897820646740897,-9.021005454019328,1514.0080436217947,9.021005454019328,-1.7888128081632824,4.556,False
-3.3080174972036285,-112.14488841997938,-6.616034994407257,-8.97159107359835,1452.1586906073874,8.97159107359835,-1.7865883340458275,4.556,False
-2.9535400720764264,-111.23757111761283,-5.907080144152853,-8.899005689409027,1296.5496365568158,8.899005689409027,-1.7767594372911526,4.556,False
-3.5406601117405314,-111.87742302651984,-7.081320223481063,-8.950193842121587,1554.2845091047109,8.950193842121587,-1.7671603281265036,4.556,False
-2.9478475467008463,-114.76975711854023,-5.8956950934016925,-9.181580569483218,1294.0507228713109,9.181580569483218,-1.7833785821263015,4.556,False
